"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP1";"TestPoint_Pad_D1.0mm_Small";1;"D+";;;
2;"C5,C6,C14,C2";"C_0603_1608Metric";4;"10uF";;;
3;"U1";"Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias";1;"BQ25895RTW";;;
4;"U3";"VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm";1;"ATtiny1616-M";;;
5;"C4";"C_0402_1005Metric";1;"4.7uF";;;
6;"TP7";"TestPoint_Pad_D1.0mm_Small";1;"SHUT";;;
7;"TP2";"TestPoint_Pad_D1.0mm_Small";1;"D-";;;
8;"C7";"C_0402_1005Metric";1;"22uF";;;
9;"TP11";"TestPoint_Pad_D0.75mm_Small";1;"ALERT";;;
10;"U2";"HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"~";;;
11;"J3";"PinSocket_1x03_P1.00mm_Vertical";1;"Conn_01x03";;;
12;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
13;"C1";"C_0603_1608Metric";1;"1uF";;;
14;"BT2";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Battery_Cell";;;
15;"SW1";"Panasonic_EVQPUK_EVQPUB";1;"SW_Push";;;
16;"TP6";"TestPoint_Pad_D1.0mm_Small";1;"PWR";;;
17;"Q2";"SOT-23-3";1;"NMOS";;;
18;"Q1";"Vishay_PowerPAK_1212-8_Single";1;"PMOS";;;
19;"J1";"microSD_HC_Hirose_DM3D-SF";1;"Micro_SD_Card_Det2";;;
20;"J5";"PinSocket_1x02_P1.00mm_Vertical";1;"Conn_01x02";;;
21;"J4";"PinSocket_1x02_P1.00mm_Vertical";1;"FAN";;;
22;"C12,C15,C8";"C_0603_1608Metric";3;"1μF";;;
23;"TP10";"TestPoint_Pad_D0.75mm_Small";1;"LED";;;
24;"BT1";"PinSocket_1x02_P1.27mm_Vertical";1;"Battery_Cell";;;
25;"TP5";"TestPoint_Pad_D2.0mm";1;"VOUT";;;
26;"R8";"R_0603_1608Metric";1;"100k";;;
27;"TP3";"TestPoint_Pad_D1.5mm";1;"3V3";;;
28;"R5,R7";"R_0603_1608Metric";2;"1k";;;
29;"L1";"L_Taiyo-Yuden_MD-3030";1;"1uH";;;
30;"TP8";"TestPoint_Pad_D2.0mm";1;"VCC";;;
31;"C3";"C_0402_1005Metric";1;"47nF";;;
32;"C13";"C_0603_1608Metric";1;"0.1uF";;;
33;"R9,R10";"R_0603_1608Metric";2;"10k";;;
34;"C9,C11";"C_0603_1608Metric";2;"4.7μF";;;
35;"R1";"R_0402_1005Metric";1;"260";;;
36;"R12";"R_0402_1005Metric";1;"6.04k";;;
37;"R11";"R_0402_1005Metric";1;"10k";;;
38;"C10";"C_0603_1608Metric";1;"0.1μF";;;
39;"R2";"R_0402_1005Metric";1;"30.1k";;;
40;"R6";"R_0402_1005Metric";1;"900k";;;
41;"R3";"R_0402_1005Metric";1;"5.23k";;;
42;"U4";"QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias";1;"HUSB238A";;;
